iter	RMSE
0	0.8865339757
1	0.8325174209
2	0.7820901081
3	0.7352480351
4	0.6918525244
5	0.6515640839
6	0.6149559064
7	0.5803120303
8	0.5482492494
9	0.5183756851
10	0.4910968979
11	0.4653556665
12	0.4414345037
13	0.41961828
14	0.3994800714
15	0.3797269381
16	0.3616392289
17	0.3449076745
18	0.3299478639
19	0.3151902999
20	0.3016650496
21	0.2890622833
22	0.2778122456
23	0.2670880966
24	0.257275054
25	0.2473860804
26	0.2388997476
27	0.2302332295
28	0.2228512461
29	0.2152898749
30	0.208794278
31	0.2022160995
32	0.1952495273
33	0.1894214451
34	0.1832677749
35	0.1789962565
36	0.1745235941
37	0.1702753908
38	0.1652816272
39	0.1608302321
40	0.1567403597
41	0.1524913374
42	0.1486999472
43	0.144852733
44	0.1413614442
45	0.1378073289
46	0.1345201917
47	0.1314641341
48	0.1282840236
49	0.1252812521
50	0.1222798115
51	0.1194253335
52	0.1175137222
53	0.1152728837
54	0.1126233673
55	0.1101794398
56	0.1076470596
57	0.1057313902
58	0.1035564233
59	0.1009293222
60	0.09930225144
61	0.09733143624
62	0.09543644697
63	0.09396586621
64	0.09173060197
65	0.08999103071
66	0.08824569098
67	0.08691070914
68	0.08567176908
69	0.08419283613
70	0.08288506172
71	0.0818337747
72	0.08062685679
73	0.07910466872
74	0.07800458148
75	0.07695244993
76	0.07555606128
77	0.0745767216
78	0.07303733281
79	0.0722127852
80	0.07139164151
81	0.0707198158
82	0.06959693538
83	0.06865329216
84	0.06766589594
85	0.06676167552
86	0.06610021071
87	0.06552264074
88	0.06470693109
89	0.06406340503
90	0.06332228351
91	0.06284831548
92	0.06236826586
93	0.06171381173
94	0.06118519898
95	0.06077811561
96	0.06032803787
97	0.05972553081
98	0.05938965763
99	0.05884342465
100	0.05855811957
101	0.05810482948
102	0.05770595955
103	0.05728015724
104	0.05700458005
105	0.05668229258
106	0.05626582068
107	0.05599316622
108	0.05559093776
109	0.05529880476
110	0.0550910957
111	0.05492789029
112	0.05465605882
113	0.05438755313
114	0.05408283967
115	0.05382742491
116	0.05367803288
117	0.05344187333
118	0.05328877414
119	0.05314217176
120	0.05299974746
121	0.05281399408
122	0.05270552042
123	0.05255861955
124	0.05244450106
125	0.05225312934
126	0.05210979656
127	0.05201184122
128	0.05190660923
129	0.0517704635
130	0.05164900611
131	0.05153420954
132	0.05144625632
133	0.05137945799
134	0.05121993113
135	0.0510718969
136	0.05100059351
137	0.050873994
138	0.05074253393
139	0.05061730747
140	0.0505380489
141	0.05043519496
142	0.05034455815
143	0.05026681547
144	0.0501487452
145	0.05006692565
146	0.0499996587
147	0.04991045417
148	0.04986569095
149	0.04978389703
150	0.049734261
151	0.04967934984
152	0.04962100308
153	0.04956611338
154	0.04950020449
155	0.04946289708
156	0.04936990634
157	0.04933385105
158	0.04925032584
159	0.04921012182
160	0.0491714787
161	0.04913545217
162	0.04910303502
163	0.04906669303
164	0.04900863146
165	0.04897688977
166	0.0489066006
167	0.04885913829
168	0.04883419891
169	0.04880545512
170	0.04877816715
171	0.04873420199
172	0.04868292955
173	0.04865007701
174	0.04862202325
175	0.04858298933
176	0.04854505924
177	0.04851282262
178	0.04847952836
179	0.04845698149
180	0.04844008012
181	0.04841036664
182	0.04838959743
183	0.04836674817
184	0.04832942365
185	0.04830475075
186	0.04828903128
187	0.0482581961
188	0.04823901528
189	0.04821435253
190	0.04819200821
191	0.04817927993
192	0.04815300122
193	0.04813924106
194	0.04809642679
195	0.04808568516
196	0.04804377081
197	0.04803049923
198	0.04801485191
199	0.04800659974
200	0.04799076527
201	0.04796676491
202	0.04793235438
203	0.04791345654
204	0.04788456425
205	0.04787294184
206	0.0478495423
207	0.04783930764
208	0.04782460854
209	0.04781235208
210	0.04780023818
211	0.04777729161
212	0.04776560206
213	0.04775373687
214	0.04774168054
215	0.04772320153
216	0.04771619098
217	0.04770721148
218	0.04769479974
219	0.04768976141
220	0.04767942651
221	0.0476687135
222	0.04766068163
223	0.04764310851
224	0.04763164756
225	0.04762538919
226	0.04761570299
227	0.04760652176
228	0.04759189314
229	0.0475851838
230	0.04756704005
231	0.04755842425
232	0.04755164882
233	0.04753964514
234	0.04752953032
